Value,Count,LC24_EVT_250,pad_5070,Feature_S_US1,EVT_NAME,EVT_PHYS,GAP_Sts,SECTION_CO,SECTION_NA
21325,14978.000000000000000,7086,1,174,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,4,425B,East Great Basin and Mountains
21326,2472.000000000000000,9022,1,174,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian,4,425B,East Great Basin and Mountains
21327,1195467.000000000000000,9008,3,174,Inter-Mountain Basins Playa,Sparsely Vegetated,3,425B,East Great Basin and Mountains
21328,43334.000000000000000,9005,3,174,Inter-Mountain Basins Alkaline Closed Depression,Riparian,3,425B,East Great Basin and Mountains
21329,74513.000000000000000,7299,1,174,Developed-Roads,Developed-Roads,4,425B,East Great Basin and Mountains
21330,135464.000000000000000,7299,3,174,Developed-Roads,Developed-Roads,3,425B,East Great Basin and Mountains
21331,66196.000000000000000,9005,1,174,Inter-Mountain Basins Alkaline Closed Depression,Riparian,4,425B,East Great Basin and Mountains
21332,4523.000000000000000,9329,3,174,Western North American Ruderal Wet Shrubland,Riparian,3,425B,East Great Basin and Mountains
21333,72698.000000000000000,9328,3,174,Interior Western North American Temperate Ruderal Shrubland,Exotic Tree-Shrub,3,425B,East Great Basin and Mountains
21334,610.000000000000000,9829,3,174,Western North American Ruderal Wet Meadow & Marsh,Riparian,3,425B,East Great Basin and Mountains
21335,163901.000000000000000,7080,2,174,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,2,425B,East Great Basin and Mountains
21336,11898.000000000000000,7125,2,174,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,2,425B,East Great Basin and Mountains
21337,118373.000000000000000,7126,2,174,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,2,425B,East Great Basin and Mountains
21338,10743.000000000000000,9503,2,174,Great Basin Foothill and Lower Montane Riparian Shrubland,Riparian,2,425B,East Great Basin and Mountains
21339,5777.000000000000000,9309,2,174,Great Basin & Intermountain Introduced Perennial Grassland and Forbland,Exotic Herbaceous,2,425B,East Great Basin and Mountains
21340,2520.000000000000000,9005,2,174,Inter-Mountain Basins Alkaline Closed Depression,Riparian,2,425B,East Great Basin and Mountains
21341,6643.000000000000000,7135,2,174,Inter-Mountain Basins Semi-Desert Grassland,Grassland,2,425B,East Great Basin and Mountains
21342,21442.000000000000000,7127,2,174,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,2,425B,East Great Basin and Mountains
21343,262171.000000000000000,7079,2,174,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,2,425B,East Great Basin and Mountains
21344,121.000000000000000,9829,2,174,Western North American Ruderal Wet Meadow & Marsh,Riparian,2,425B,East Great Basin and Mountains
21345,790.000000000000000,7299,2,174,Developed-Roads,Developed-Roads,2,425B,East Great Basin and Mountains
21346,3.000000000000000,7124,2,174,Columbia Plateau Low Sagebrush Steppe,Shrubland,2,425B,East Great Basin and Mountains
21347,18589.000000000000000,7904,1,174,Western Cool Temperate Urban Shrubland,Developed,4,425B,East Great Basin and Mountains
21348,8622.000000000000000,7296,1,174,Developed-Low Intensity,Developed-Low Intensity,4,425B,East Great Basin and Mountains
21349,7046.000000000000000,7903,1,174,Western Cool Temperate Urban Herbaceous,Developed,4,425B,East Great Basin and Mountains
21350,5198.000000000000000,7923,1,174,Western Cool Temperate Developed Shrubland,Developed,4,425B,East Great Basin and Mountains
21351,3151.000000000000000,7924,1,174,Western Cool Temperate Developed Herbaceous,Developed,4,425B,East Great Basin and Mountains
21352,8.000000000000000,9030,2,174,Columbia Plateau Silver Sagebrush Seasonally Flooded Shrub-Steppe,Riparian,2,425B,East Great Basin and Mountains
21353,1.000000000000000,7123,2,174,Columbia Plateau Steppe and Grassland,Grassland,2,425B,East Great Basin and Mountains
21354,30185.000000000000000,7011,1,174,Rocky Mountain Aspen Forest and Woodland,Hardwood,4,425B,East Great Basin and Mountains
21355,20753.000000000000000,7292,1,174,Open Water,Open Water,4,425B,East Great Basin and Mountains
21356,11228.000000000000000,9017,3,174,Rocky Mountain Alpine-Montane Wet Meadow,Riparian,3,425B,East Great Basin and Mountains
21357,79167.000000000000000,7011,3,174,Rocky Mountain Aspen Forest and Woodland,Hardwood,3,425B,East Great Basin and Mountains
21358,369.000000000000000,7923,3,174,Western Cool Temperate Developed Shrubland,Developed,3,425B,East Great Basin and Mountains
21359,11578.000000000000000,9328,1,174,Interior Western North American Temperate Ruderal Shrubland,Exotic Tree-Shrub,4,425B,East Great Basin and Mountains
21360,103605.000000000000000,9827,1,174,Interior West Ruderal Riparian Scrub,Riparian,4,425B,East Great Basin and Mountains
21361,4573.000000000000000,7297,1,174,Developed-Medium Intensity,Developed-Medium Intensity,4,425B,East Great Basin and Mountains
21362,575.000000000000000,7901,1,174,Western Cool Temperate Urban Evergreen Forest,Developed,4,425B,East Great Basin and Mountains
21363,150058.000000000000000,7965,1,174,Western Cool Temperate Close Grown Crop,Agricultural,4,425B,East Great Basin and Mountains
21364,57979.000000000000000,7062,1,174,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Conifer,4,425B,East Great Basin and Mountains
21365,1977.000000000000000,7296,3,174,Developed-Low Intensity,Developed-Low Intensity,3,425B,East Great Basin and Mountains
21366,95.000000000000000,7921,3,174,Western Cool Temperate Developed Evergreen Forest,Developed,3,425B,East Great Basin and Mountains
21367,722180.000000000000000,7062,3,174,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Conifer,3,425B,East Great Basin and Mountains
21368,202165.000000000000000,7103,3,174,Great Basin Semi-Desert Chaparral,Shrubland,3,425B,East Great Basin and Mountains
21369,3637.000000000000000,9018,1,174,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated,4,425B,East Great Basin and Mountains
21370,304975.000000000000000,9827,3,174,Interior West Ruderal Riparian Scrub,Riparian,3,425B,East Great Basin and Mountains
21371,180953.000000000000000,9010,3,174,Inter-Mountain Basins Wash,Sparsely Vegetated,3,425B,East Great Basin and Mountains
21372,30230.000000000000000,9018,3,174,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated,3,425B,East Great Basin and Mountains
21373,23940.000000000000000,9010,1,174,Inter-Mountain Basins Wash,Sparsely Vegetated,4,425B,East Great Basin and Mountains
21374,4.000000000000000,9019,4,158,Rocky Mountain Lower Montane-Foothill Riparian Woodland,Riparian,1,422C,Northeastern Great Basin
21375,421.000000000000000,7968,2,158,Western Cool Temperate Wheat,Agricultural,2,422C,Northeastern Great Basin
21376,7.000000000000000,7056,2,158,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,2,422C,Northeastern Great Basin
21377,62.000000000000000,7963,2,158,Western Cool Temperate Row Crop - Close Grown Crop,Agricultural,2,422C,Northeastern Great Basin
21378,461835.000000000000000,7079,1,162,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,4,422G,Bonneville Basin
21379,1525145.000000000000000,7081,1,162,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,4,422G,Bonneville Basin
21380,967450.000000000000000,9307,1,162,Great Basin & Intermountain Introduced Annual and Biennial Forbland,Exotic Herbaceous,4,422G,Bonneville Basin
21381,2655914.000000000000000,7080,1,162,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,4,422G,Bonneville Basin
21382,901682.000000000000000,9308,1,162,Great Basin & Intermountain Introduced Annual Grassland,Exotic Herbaceous,4,422G,Bonneville Basin
21383,764523.000000000000000,7127,1,162,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,4,422G,Bonneville Basin
21384,1954761.000000000000000,9336,1,162,Great Basin & Intermountain Ruderal Shrubland,Exotic Tree-Shrub,4,422G,Bonneville Basin
21385,771956.000000000000000,9328,1,162,Interior Western North American Temperate Ruderal Shrubland,Exotic Tree-Shrub,4,422G,Bonneville Basin
21386,650486.000000000000000,7153,1,162,Inter-Mountain Basins Greasewood Flat,Shrubland,4,422G,Bonneville Basin
21387,4532232.000000000000000,7079,3,162,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,3,422G,Bonneville Basin
21388,6916189.000000000000000,7081,3,162,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,3,422G,Bonneville Basin
21389,278739.000000000000000,9827,1,162,Interior West Ruderal Riparian Scrub,Riparian,4,422G,Bonneville Basin
21390,4434284.000000000000000,9336,3,162,Great Basin & Intermountain Ruderal Shrubland,Exotic Tree-Shrub,3,422G,Bonneville Basin
21391,6207349.000000000000000,7080,3,162,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,3,422G,Bonneville Basin
21392,901918.000000000000000,7299,1,162,Developed-Roads,Developed-Roads,4,422G,Bonneville Basin
21393,223313.000000000000000,9010,1,162,Inter-Mountain Basins Wash,Sparsely Vegetated,4,422G,Bonneville Basin
21394,3696793.000000000000000,7127,3,162,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,3,422G,Bonneville Basin
21395,433980.000000000000000,7296,1,162,Developed-Low Intensity,Developed-Low Intensity,4,422G,Bonneville Basin
21396,17306.000000000000000,9505,1,162,Great Basin Foothill and Lower Montane Riparian Herbaceous,Riparian,4,422G,Bonneville Basin
21397,999614.000000000000000,9307,3,162,Great Basin & Intermountain Introduced Annual and Biennial Forbland,Exotic Herbaceous,3,422G,Bonneville Basin
21398,911709.000000000000000,9308,3,162,Great Basin & Intermountain Introduced Annual Grassland,Exotic Herbaceous,3,422G,Bonneville Basin
21399,590954.000000000000000,9010,3,162,Inter-Mountain Basins Wash,Sparsely Vegetated,3,422G,Bonneville Basin
21400,1030805.000000000000000,7153,3,162,Inter-Mountain Basins Greasewood Flat,Shrubland,3,422G,Bonneville Basin
21401,322532.000000000000000,9005,1,162,Inter-Mountain Basins Alkaline Closed Depression,Riparian,4,422G,Bonneville Basin
21402,117415.000000000000000,9503,1,162,Great Basin Foothill and Lower Montane Riparian Shrubland,Riparian,4,422G,Bonneville Basin
21403,846073.000000000000000,7126,3,162,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,3,422G,Bonneville Basin
21404,200506.000000000000000,7964,1,162,Western Cool Temperate Row Crop,Agricultural,4,422G,Bonneville Basin
21405,5023790.000000000000000,7292,1,162,Open Water,Open Water,4,422G,Bonneville Basin
21406,53826.000000000000000,7125,3,162,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,3,422G,Bonneville Basin
21407,31598.000000000000000,7125,1,162,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,4,422G,Bonneville Basin
21408,110937.000000000000000,7904,1,162,Western Cool Temperate Urban Shrubland,Developed,4,422G,Bonneville Basin
21409,150603.000000000000000,9011,1,162,North American Arid West Emergent Marsh,Riparian,4,422G,Bonneville Basin
21410,45679.000000000000000,7924,1,162,Western Cool Temperate Developed Herbaceous,Developed,4,422G,Bonneville Basin
21411,749536.000000000000000,9309,1,162,Great Basin & Intermountain Introduced Perennial Grassland and Forbland,Exotic Herbaceous,4,422G,Bonneville Basin
21412,42061.000000000000000,7963,1,162,Western Cool Temperate Row Crop - Close Grown Crop,Agricultural,4,422G,Bonneville Basin
21413,137929.000000000000000,7968,1,162,Western Cool Temperate Wheat,Agricultural,4,422G,Bonneville Basin
21414,8063003.000000000000000,9008,1,162,Inter-Mountain Basins Playa,Sparsely Vegetated,4,422G,Bonneville Basin
21415,372046.000000000000000,7297,1,162,Developed-Medium Intensity,Developed-Medium Intensity,4,422G,Bonneville Basin
21416,5504093.000000000000000,9008,3,162,Inter-Mountain Basins Playa,Sparsely Vegetated,3,422G,Bonneville Basin
21417,224611.000000000000000,9827,3,162,Interior West Ruderal Riparian Scrub,Riparian,3,422G,Bonneville Basin
21418,81087.000000000000000,9005,3,162,Inter-Mountain Basins Alkaline Closed Depression,Riparian,3,422G,Bonneville Basin
21419,253642.000000000000000,7299,3,162,Developed-Roads,Developed-Roads,3,422G,Bonneville Basin
21420,1329887.000000000000000,9328,3,162,Interior Western North American Temperate Ruderal Shrubland,Exotic Tree-Shrub,3,422G,Bonneville Basin
21421,5769.000000000000000,7297,3,162,Developed-Medium Intensity,Developed-Medium Intensity,3,422G,Bonneville Basin
21422,7522.000000000000000,7296,3,162,Developed-Low Intensity,Developed-Low Intensity,3,422G,Bonneville Basin
21423,114309.000000000000000,7135,1,162,Inter-Mountain Basins Semi-Desert Grassland,Grassland,4,422G,Bonneville Basin
21424,51262.000000000000000,9503,3,162,Great Basin Foothill and Lower Montane Riparian Shrubland,Riparian,3,422G,Bonneville Basin
21425,185989.000000000000000,7135,3,162,Inter-Mountain Basins Semi-Desert Grassland,Grassland,3,422G,Bonneville Basin
21426,2562.000000000000000,9505,3,162,Great Basin Foothill and Lower Montane Riparian Herbaceous,Riparian,3,422G,Bonneville Basin
21427,656545.000000000000000,7965,1,162,Western Cool Temperate Close Grown Crop,Agricultural,4,422G,Bonneville Basin
21428,465713.000000000000000,7967,1,162,Western Cool Temperate Pasture and Hayland,Agricultural,4,422G,Bonneville Basin
21429,42294.000000000000000,7966,1,162,Western Cool Temperate Fallow/Idle Cropland,Agricultural,4,422G,Bonneville Basin
21430,4789.000000000000000,9827,2,158,Interior West Ruderal Riparian Scrub,Riparian,2,422C,Northeastern Great Basin
21431,550083.000000000000000,7292,3,162,Open Water,Open Water,3,422G,Bonneville Basin
21432,8166.000000000000000,9011,3,162,North American Arid West Emergent Marsh,Riparian,3,422G,Bonneville Basin
21433,1023.000000000000000,9327,3,162,Interior West Ruderal Riparian Forest,Riparian,3,422G,Bonneville Basin
21434,309487.000000000000000,9309,3,162,Great Basin & Intermountain Introduced Perennial Grassland and Forbland,Exotic Herbaceous,3,422G,Bonneville Basin
21435,11838.000000000000000,7292,3,174,Open Water,Open Water,3,425B,East Great Basin and Mountains
21436,1.000000000000000,7124,1,162,Columbia Plateau Low Sagebrush Steppe,Shrubland,4,422G,Bonneville Basin
21437,180.000000000000000,7123,1,162,Columbia Plateau Steppe and Grassland,Grassland,4,422G,Bonneville Basin
21438,91.000000000000000,7123,3,162,Columbia Plateau Steppe and Grassland,Grassland,3,422G,Bonneville Basin
21439,13.000000000000000,7124,3,162,Columbia Plateau Low Sagebrush Steppe,Shrubland,3,422G,Bonneville Basin
21440,37150.000000000000000,9006,1,162,Inter-Mountain Basins Cliff and Canyon,Sparsely Vegetated,4,422G,Bonneville Basin
21441,240511.000000000000000,7081,2,162,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,2,422G,Bonneville Basin
21442,119550.000000000000000,7080,2,162,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,2,422G,Bonneville Basin
21443,544456.000000000000000,7079,2,162,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,2,422G,Bonneville Basin
21444,84277.000000000000000,9336,2,162,Great Basin & Intermountain Ruderal Shrubland,Exotic Tree-Shrub,2,422G,Bonneville Basin
21445,1403.000000000000000,7125,2,162,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,2,422G,Bonneville Basin
21446,15175.000000000000000,9308,2,162,Great Basin & Intermountain Introduced Annual Grassland,Exotic Herbaceous,2,422G,Bonneville Basin
21447,266985.000000000000000,9828,1,162,Interior Western North American Temperate Ruderal Grassland,Exotic Herbaceous,4,422G,Bonneville Basin
21448,107439.000000000000000,7127,2,162,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,2,422G,Bonneville Basin
21449,3289.000000000000000,9829,1,162,Western North American Ruderal Wet Meadow & Marsh,Riparian,4,422G,Bonneville Basin
21450,14794.000000000000000,7153,2,162,Inter-Mountain Basins Greasewood Flat,Shrubland,2,422G,Bonneville Basin
21451,7244.000000000000000,7965,3,162,Western Cool Temperate Close Grown Crop,Agricultural,3,422G,Bonneville Basin
21452,1977.000000000000000,9329,3,162,Western North American Ruderal Wet Shrubland,Riparian,3,422G,Bonneville Basin
21453,550.000000000000000,9829,3,162,Western North American Ruderal Wet Meadow & Marsh,Riparian,3,422G,Bonneville Basin
21454,2.000000000000000,9030,3,162,Columbia Plateau Silver Sagebrush Seasonally Flooded Shrub-Steppe,Riparian,3,422G,Bonneville Basin
21455,9989.000000000000000,9828,3,162,Interior Western North American Temperate Ruderal Grassland,Exotic Herbaceous,3,422G,Bonneville Basin
21456,10793.000000000000000,9307,2,162,Great Basin & Intermountain Introduced Annual and Biennial Forbland,Exotic Herbaceous,2,422G,Bonneville Basin
21457,147512.000000000000000,7903,1,162,Western Cool Temperate Urban Herbaceous,Developed,4,422G,Bonneville Basin
21458,2997.000000000000000,7964,3,162,Western Cool Temperate Row Crop,Agricultural,3,422G,Bonneville Basin
21459,12596.000000000000000,9328,2,162,Interior Western North American Temperate Ruderal Shrubland,Exotic Tree-Shrub,2,422G,Bonneville Basin
21460,126244.000000000000000,9006,3,162,Inter-Mountain Basins Cliff and Canyon,Sparsely Vegetated,3,422G,Bonneville Basin
21461,6043.000000000000000,9010,2,162,Inter-Mountain Basins Wash,Sparsely Vegetated,2,422G,Bonneville Basin
21462,150174.000000000000000,9008,2,162,Inter-Mountain Basins Playa,Sparsely Vegetated,2,422G,Bonneville Basin
21463,44293.000000000000000,7923,1,162,Western Cool Temperate Developed Shrubland,Developed,4,422G,Bonneville Basin
21464,40763.000000000000000,9827,2,162,Interior West Ruderal Riparian Scrub,Riparian,2,422G,Bonneville Basin
21465,49767.000000000000000,9005,2,162,Inter-Mountain Basins Alkaline Closed Depression,Riparian,2,422G,Bonneville Basin
21466,2910.000000000000000,7298,3,162,Developed-High Intensity,Developed-High Intensity,3,422G,Bonneville Basin
21467,855.000000000000000,7296,2,162,Developed-Low Intensity,Developed-Low Intensity,2,422G,Bonneville Basin
21468,220127.000000000000000,7298,1,162,Developed-High Intensity,Developed-High Intensity,4,422G,Bonneville Basin
21469,875.000000000000000,7904,3,162,Western Cool Temperate Urban Shrubland,Developed,3,422G,Bonneville Basin
21470,751.000000000000000,7923,3,162,Western Cool Temperate Developed Shrubland,Developed,3,422G,Bonneville Basin
21471,3791.000000000000000,9327,1,162,Interior West Ruderal Riparian Forest,Riparian,4,422G,Bonneville Basin
21472,695.000000000000000,9327,1,174,Interior West Ruderal Riparian Forest,Riparian,4,425B,East Great Basin and Mountains
21473,742.000000000000000,7297,3,174,Developed-Medium Intensity,Developed-Medium Intensity,3,425B,East Great Basin and Mountains
21474,8220.000000000000000,9022,3,174,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian,3,425B,East Great Basin and Mountains
21475,11695.000000000000000,7967,3,162,Western Cool Temperate Pasture and Hayland,Agricultural,3,422G,Bonneville Basin
21476,242556.000000000000000,7126,1,162,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,4,422G,Bonneville Basin
21477,79.000000000000000,7961,3,158,Western Cool Temperate Vineyard,Agricultural,3,422C,Northeastern Great Basin
21478,37.000000000000000,9327,3,158,Interior West Ruderal Riparian Forest,Riparian,3,422C,Northeastern Great Basin
21479,4051.000000000000000,7107,3,158,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,3,422C,Northeastern Great Basin
21480,23133.000000000000000,7107,1,158,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,4,422C,Northeastern Great Basin
21481,360.000000000000000,7968,3,162,Western Cool Temperate Wheat,Agricultural,3,422G,Bonneville Basin
21482,210.000000000000000,7961,1,162,Western Cool Temperate Vineyard,Agricultural,4,422G,Bonneville Basin
21483,51.000000000000000,7961,3,162,Western Cool Temperate Vineyard,Agricultural,3,422G,Bonneville Basin
21484,20857.000000000000000,9003,1,162,Great Basin Foothill and Lower Montane Riparian Woodland,Riparian,4,422G,Bonneville Basin
21485,4890496.000000000000000,7019,3,162,Great Basin Pinyon-Juniper Woodland,Conifer,3,422G,Bonneville Basin
21486,44241.000000000000000,7086,3,162,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,3,422G,Bonneville Basin
21487,742811.000000000000000,7019,1,162,Great Basin Pinyon-Juniper Woodland,Conifer,4,422G,Bonneville Basin
21488,124.000000000000000,7963,3,162,Western Cool Temperate Row Crop - Close Grown Crop,Agricultural,3,422G,Bonneville Basin
21489,11144.000000000000000,7086,1,162,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,4,422G,Bonneville Basin
21490,7643.000000000000000,7299,2,162,Developed-Roads,Developed-Roads,2,422G,Bonneville Basin
21491,8043.000000000000000,9309,2,162,Great Basin & Intermountain Introduced Perennial Grassland and Forbland,Exotic Herbaceous,2,422G,Bonneville Basin
21492,6480.000000000000000,9503,2,162,Great Basin Foothill and Lower Montane Riparian Shrubland,Riparian,2,422G,Bonneville Basin
21493,435.000000000000000,7298,2,162,Developed-High Intensity,Developed-High Intensity,2,422G,Bonneville Basin
21494,9340.000000000000000,9003,3,162,Great Basin Foothill and Lower Montane Riparian Woodland,Riparian,3,422G,Bonneville Basin
21495,224479.000000000000000,7103,3,162,Great Basin Semi-Desert Chaparral,Shrubland,3,422G,Bonneville Basin
21496,191973.000000000000000,7292,2,162,Open Water,Open Water,2,422G,Bonneville Basin
21497,600.000000000000000,7904,2,162,Western Cool Temperate Urban Shrubland,Developed,2,422G,Bonneville Basin
21498,497.000000000000000,7966,3,162,Western Cool Temperate Fallow/Idle Cropland,Agricultural,3,422G,Bonneville Basin
21499,1046.000000000000000,9021,1,162,Rocky Mountain Subalpine-Montane Riparian Shrubland,Riparian,4,422G,Bonneville Basin
21500,23910.000000000000000,9011,2,162,North American Arid West Emergent Marsh,Riparian,2,422G,Bonneville Basin
21501,2787.000000000000000,7145,3,162,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,3,422G,Bonneville Basin
21502,312.000000000000000,9021,2,162,Rocky Mountain Subalpine-Montane Riparian Shrubland,Riparian,2,422G,Bonneville Basin
21503,1669.000000000000000,7145,1,162,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,4,422G,Bonneville Basin
21504,37736.000000000000000,7103,1,162,Great Basin Semi-Desert Chaparral,Shrubland,4,422G,Bonneville Basin
21505,262041.000000000000000,7107,1,162,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,4,422G,Bonneville Basin
21506,2873.000000000000000,7115,1,162,Inter-Mountain Basins Juniper Savanna,Conifer,4,422G,Bonneville Basin
21507,86156.000000000000000,9329,1,162,Western North American Ruderal Wet Shrubland,Riparian,4,422G,Bonneville Basin
21508,348.000000000000000,7968,2,162,Western Cool Temperate Wheat,Agricultural,2,422G,Bonneville Basin
21509,4603.000000000000000,7135,2,162,Inter-Mountain Basins Semi-Desert Grassland,Grassland,2,422G,Bonneville Basin
21510,41217.000000000000000,7146,3,162,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,3,422G,Bonneville Basin
21511,38008.000000000000000,7146,1,162,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,4,422G,Bonneville Basin
21512,2237.000000000000000,7115,3,162,Inter-Mountain Basins Juniper Savanna,Conifer,3,422G,Bonneville Basin
21513,43302.000000000000000,7062,1,162,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Conifer,4,422G,Bonneville Basin
21514,89059.000000000000000,7012,1,162,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,4,422G,Bonneville Basin
21515,29795.000000000000000,7011,1,162,Rocky Mountain Aspen Forest and Woodland,Hardwood,4,422G,Bonneville Basin
21516,118348.000000000000000,7107,2,31,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,2,413D,Overthrust Mountains
21517,7326.000000000000000,9827,1,31,Interior West Ruderal Riparian Scrub,Riparian,4,413D,Overthrust Mountains
21518,206.000000000000000,9827,2,31,Interior West Ruderal Riparian Scrub,Riparian,2,413D,Overthrust Mountains
21519,736.000000000000000,9010,1,31,Inter-Mountain Basins Wash,Sparsely Vegetated,4,413D,Overthrust Mountains
21520,553.000000000000000,9008,1,31,Inter-Mountain Basins Playa,Sparsely Vegetated,4,413D,Overthrust Mountains
21521,122.000000000000000,7103,3,31,Great Basin Semi-Desert Chaparral,Shrubland,3,413D,Overthrust Mountains
21522,89.000000000000000,7135,4,31,Inter-Mountain Basins Semi-Desert Grassland,Grassland,1,413D,Overthrust Mountains
21523,40830.000000000000000,7107,4,31,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,1,413D,Overthrust Mountains
21524,6992.000000000000000,9308,4,31,Great Basin & Intermountain Introduced Annual Grassland,Exotic Herbaceous,1,413D,Overthrust Mountains
21525,61555.000000000000000,7052,4,31,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,1,413D,Overthrust Mountains
21526,2526.000000000000000,7146,4,31,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,1,413D,Overthrust Mountains
21527,39253.000000000000000,7020,4,31,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Conifer,1,413D,Overthrust Mountains
21528,27642.000000000000000,7016,4,31,Colorado Plateau Pinyon-Juniper Woodland,Conifer,1,413D,Overthrust Mountains
21529,2721.000000000000000,9001,4,31,Colorado Plateau Mixed Bedrock Canyon and Tableland,Sparsely Vegetated,1,413D,Overthrust Mountains
21530,689.000000000000000,9336,4,31,Great Basin & Intermountain Ruderal Shrubland,Exotic Tree-Shrub,1,413D,Overthrust Mountains
21531,39.000000000000000,7103,4,31,Great Basin Semi-Desert Chaparral,Shrubland,1,413D,Overthrust Mountains
21532,495.000000000000000,7081,4,31,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,1,413D,Overthrust Mountains
21533,4.000000000000000,9033,1,158,Inter-Mountain Basins Volcanic Rock and Cinder Land,Sparsely Vegetated,4,422C,Northeastern Great Basin
21534,11.000000000000000,7107,2,158,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,2,422C,Northeastern Great Basin
21535,7.000000000000000,7298,2,158,Developed-High Intensity,Developed-High Intensity,2,422C,Northeastern Great Basin
21536,6.000000000000000,7961,2,158,Western Cool Temperate Vineyard,Agricultural,2,422C,Northeastern Great Basin
21537,291.000000000000000,9327,2,158,Interior West Ruderal Riparian Forest,Riparian,2,422C,Northeastern Great Basin
21538,120.000000000000000,7079,4,31,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,1,413D,Overthrust Mountains
21539,6.000000000000000,7960,3,31,Western Cool Temperate Orchard,Agricultural,3,413D,Overthrust Mountains
21540,1093.000000000000000,9828,2,162,Interior Western North American Temperate Ruderal Grassland,Exotic Herbaceous,2,422G,Bonneville Basin
21541,13823.000000000000000,9329,2,162,Western North American Ruderal Wet Shrubland,Riparian,2,422G,Bonneville Basin
21542,21.000000000000000,9019,2,158,Rocky Mountain Lower Montane-Foothill Riparian Woodland,Riparian,2,422C,Northeastern Great Basin
21543,1991.000000000000000,9003,2,162,Great Basin Foothill and Lower Montane Riparian Woodland,Riparian,2,422G,Bonneville Basin
21544,33.000000000000000,9829,2,162,Western North American Ruderal Wet Meadow & Marsh,Riparian,2,422G,Bonneville Basin
21545,35.000000000000000,7103,2,31,Great Basin Semi-Desert Chaparral,Shrubland,2,413D,Overthrust Mountains
21546,632.000000000000000,9327,2,162,Interior West Ruderal Riparian Forest,Riparian,2,422G,Bonneville Basin
21547,192.000000000000000,9019,2,162,Rocky Mountain Lower Montane-Foothill Riparian Woodland,Riparian,2,422G,Bonneville Basin
21548,855.000000000000000,7297,2,162,Developed-Medium Intensity,Developed-Medium Intensity,2,422G,Bonneville Basin
21549,367.000000000000000,9021,3,162,Rocky Mountain Subalpine-Montane Riparian Shrubland,Riparian,3,422G,Bonneville Basin
21550,196.000000000000000,7903,2,162,Western Cool Temperate Urban Herbaceous,Developed,2,422G,Bonneville Basin
21551,366.000000000000000,9519,1,162,Rocky Mountain Lower Montane-Foothill Riparian Shrubland,Riparian,4,422G,Bonneville Basin
