transition,model_code,annual_probability, return_interval ,bps_name
Wind or Weather or Stress,10451_20,0.001983,504,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
Wind or Weather or Stress,10452_10_19,0.001789,559,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch
Wind or Weather or Stress,10453_10_19,0.001275,784,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir
Wind or Weather or Stress,10454_20,0.0110572,90,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Lodgepole Pine
Wind or Weather or Stress,10460_10_19_20,0.0050112,200,Northern Rocky Mountain Subalpine Woodland and Parkland
Wind or Weather or Stress,10460_21,0.0052542,190,Northern Rocky Mountain Subalpine Woodland and Parkland
Wind or Weather or Stress,10470_10_19,0.000765,1307,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
Wind or Weather or Stress,10470_8_9,0.0014338,697,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
Wind or Weather or Stress,10500_22,0.000456,2193,Rocky Mountain Lodgepole Pine Forest
Wind or Weather or Stress,10510_15_16_17_22_23_24_25,0.0009718,1029,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Wind or Weather or Stress,10510_18_21,0.0009868,1013,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Wind or Weather or Stress,10510_27,0.0011716,854,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Wind or Weather or Stress,10510_29,0.0010066,993,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Wind or Weather or Stress,10510_6,0.0009922,1008,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
